"species","BRI","sd","n"
"Acanthastrea echinata",42.14,39.38,4
"Acanthastrea hemprichi",0,NA,1
"Acanthastrea pachysepta",0,NA,1
"Acropora abrotanoides",20,NA,1
"Acropora aculeus",17.69,NA,1
"Acropora acuminata",35.75,NA,2
"Acropora anthocercis",0,NA,1
"Acropora arabensis",61.6,13.56,5
"Acropora aspera",40.75,15.54,6
"Acropora austera",23.26,NA,2
"Acropora carduus",27.69,NA,1
"Acropora cerealis",48.63,46.29,3
"Acropora cervicornis",31.93,23.2,12
"Acropora clathrata",32.99,12.92,6
"Acropora cytherea",42.48,33.1,7
"Acropora digitifera",31.84,27.26,12
"Acropora divaricata",28.06,13.31,3
"Acropora echinata",71.5,NA,1
"Acropora elseyi",25.43,NA,2
"Acropora eurystoma",52.6,NA,1
"Acropora florida",45.69,35.97,3
"Acropora gemmifera",71.07,32.55,4
"Acropora glauca",24.35,NA,1
"Acropora grandis",24.23,15.59,4
"Acropora horrida",19.4,15.9,3
"Acropora humilis",51.14,34.27,5
"Acropora hyacinthus",35.71,25.58,17
"Acropora latistella",25.27,20.28,4
"Acropora listeri",18.46,NA,1
"Acropora longicyathus",25.88,NA,1
"Acropora loripes",9.38,NA,1
"Acropora lutkeni",13.73,NA,1
"Acropora microclados",0,NA,1
"Acropora microphthalma",7.26,6.66,8
"Acropora millepora",34.19,17.79,4
"Acropora monticulosa",45.23,NA,2
"Acropora muricata",29.3,18.1,13
"Acropora nasuta",58.94,36.44,6
"Acropora palmata",25.82,22.9,11
"Acropora pharaonis",35.75,NA,1
"Acropora pulchra",8.4,3.9,4
"Acropora robusta",36.04,31.41,14
"Acropora samoensis",11.54,NA,1
"Acropora sarmentosa",12.19,NA,1
"Acropora secale",31.03,10.7,5
"Acropora selago",12.31,NA,1
"Acropora seriata",2.75,NA,1
"Acropora solitaryensis",29.88,NA,1
"Acropora spathulata",10.08,NA,1
"Acropora subglabra",35.75,NA,1
"Acropora subulata",29.57,18.25,4
"Acropora tenuis",37.85,23.73,5
"Acropora valenciennesi",32.82,5.86,4
"Acropora valida",16.35,17.01,3
"Acropora willisae",0,NA,1
"Acropora yongei",15.96,NA,1
"Agaricia agaricites",33.51,30.66,13
"Agaricia fragilis",7.33,5.72,3
"Agaricia grahamae",2.75,NA,2
"Agaricia humilis",11,NA,1
"Agaricia lamarcki",25.54,32.3,8
"Agaricia tenuifolia",32.08,27.76,12
"Agaricia undata",2.75,NA,2
"Astrea curta",10.25,24.26,17
"Astreopora myriophthalma",2.75,NA,1
"Australogyra zelli",55.89,NA,1
"Catalaphyllia jardinei",2.75,NA,1
"Caulastraea furcata",4.55,NA,2
"Cladocora arbuscula",2.75,NA,1
"Coelastrea aspera",14.27,16.87,4
"Coeloseris mayeri",35.96,1.92,4
"Colpophyllia natans",17.3082608695652,16.8468322775369,23
"Coscinaraea columna",6.51,NA,1
"Coscinaraea exesa",8,NA,2
"Coscinaraea monile",37.13,NA,2
"Ctenactis echinata",0,NA,1
"Cycloseris curvata",17.5,20.21,4
"Cycloseris distorta",1.38,NA,2
"Cyphastrea chalcidicum",0,NA,1
"Cyphastrea decadia",0.79,NA,1
"Cyphastrea microphthalma",6.54,NA,1
"Cyphastrea ocellina",5.5,NA,1
"Cyphastrea serailia",8.64,NA,1
"Danafungia horrida",0,NA,2
"Dendrogyra cylindrus",45.38,NA,2
"Dichocoenia stokesii",9,14.7901290280601,6
"Diploastrea heliopora",19.94,NA,2
"Diploria labyrinthiformis",12.28,11.79,26
"Dipsastraea danai",37.43,NA,1
"Dipsastraea favus",32.05,28.24,6
"Dipsastraea laxa",41.5,NA,1
"Dipsastraea lizardensis",76,NA,2
"Dipsastraea maritima",6.73,NA,1
"Dipsastraea matthaii",31.87,NA,1
"Dipsastraea maxima",16,NA,1
"Dipsastraea pallida",55.04,20.23,12
"Dipsastraea rotumana",23.04,NA,2
"Dipsastraea speciosa",33.6,21.79,5
"Dipsastraea truncata",35.19,NA,1
"Echinophyllia aspera",10.56,NA,1
"Echinophyllia orpheensis",0,NA,1
"Echinopora gemmacea",31.56,NA,2
"Echinopora horrida",0.79,NA,1
"Echinopora lamellosa",8.87,8.34,3
"Echinopora mammiformis",19.16,NA,1
"Echinopora pacificus",28.6,NA,1
"Euphyllia glabrescens",2.75,0,3
"Eusmilia fastigiata",14.13,12.98,4
"Favia fragum",34.21,21.08,5
"Favites abdita",26.03,15.29,5
"Favites chinensis",49.37,38.82,5
"Favites complanata",20.28,NA,1
"Favites flexuosa",43.34,43.47,4
"Favites halicora",25.66,25.44,5
"Favites magnistellata",24.72,NA,1
"Favites pentagona",27.07,NA,2
"Favites rotundata",32.34,NA,1
"Favites valenciennesi",18.14,NA,2
"Fungia fungites",15.21,14.19,4
"Galaxea acrhelia",29.85,NA,1
"Galaxea astreata",47.59,32.75,3
"Galaxea fascicularis",25.43,22.82,7
"Galaxea horrescens",28.51,NA,1
"Gardineroseris planulata",23.31,19.37,6
"Goniastrea edwardsi",56.91,NA,2
"Goniastrea favulus",14.95,NA,1
"Goniastrea pectinata",46.88,49.24,3
"Goniastrea retiformis",56.85,23.52,6
"Goniastrea stelligera",49.18,37.51,4
"Goniopora columna",36.83,NA,1
"Goniopora djiboutiensis",23.02,NA,1
"Goniopora lobata",19.66,13.95,3
"Goniopora pedunculata",50.44,NA,1
"Goniopora stokesi",13.75,NA,1
"Goniopora tenuidens",39.29,NA,1
"Heliofungia actiniformis",0,NA,1
"Heliopora coerulea",9.9,15.14,5
"Helioseris cucullata",11,11.99,7
"Herpolitha limax",0,NA,1
"Homophyllia bowerbanki",0,NA,1
"Hydnophora exesa",30.07,NA,2
"Hydnophora microconos",10.22,NA,2
"Hydnophora rigida",25.62,33.28,5
"Isophyllia rigida",2.75,NA,1
"Isophyllia sinuosa",2.75,NA,1
"Isopora brueggemanni",29.58,10.69,3
"Isopora cuneata",18.96,NA,1
"Isopora palifera",40.85,22.82,8
"Leptastrea pruinosa",7.15,NA,1
"Leptastrea purpurea",15.73,17.59,3
"Leptastrea transversa",16.27,19.4,3
"Leptoria irregularis",66.12,NA,1
"Leptoria phrygia",46.01,33.85,7
"Leptoseris gardineri",71.5,NA,1
"Leptoseris papyracea",71.5,NA,1
"Leptoseris yabei",19.26,NA,1
"Lithophyllon concinna",6.33,NA,2
"Lobactis scutaria",2.75,NA,2
"Lobophyllia agaricia",10.12,NA,1
"Lobophyllia corymbosa",42.83,25.87,3
"Lobophyllia flabelliformis",21.54,NA,1
"Lobophyllia hataii",35.75,NA,2
"Lobophyllia hemprichii",50.42,30.03,7
"Lobophyllia radians",12.31,NA,1
"Lobophyllia robusta",4,NA,1
"Lobophyllia vitiensis",0,NA,1
"Madracis auretenra",11,NA,1
"Madracis decactis",2.66,3.32,7
"Madracis formosa",2.75,NA,1
"Madracis myriaster",4.64,6.64,5
"Madracis pharensis",2.75,NA,1
"Madracis senaria",2.75,NA,1
"Manicina areolata",2.75,NA,1
"Meandrina danae",2.75,NA,1
"Meandrina meandrites",16.39,10.29,10
"Merulina ampliata",58.64,NA,2
"Merulina scabricula",9.09,NA,1
"Merulina triangularis",16.92,NA,1
"Micromussa lordhowensis",0,NA,1
"Millepora alcicornis",33.47,24.09,4
"Millepora complanata",38.5,NA,1
"Millepora dichotoma",35.75,NA,2
"Millepora exaesa",2.75,NA,1
"Millepora intricata",35.75,0,3
"Millepora platyphylla",35.75,NA,2
"Millepora tenera",69.93,NA,1
"Montastraea cavernosa",14.42,12.88,15
"Montipora aequituberculata",15.61,17.66,3
"Montipora caliculata",39.76,NA,1
"Montipora capitata",13.75,NA,1
"Montipora crassituberculata",15.87,NA,1
"Montipora danae",72.65,32.13,4
"Montipora digitata",18.52,10.94,10
"Montipora dilatata",38.5,NA,1
"Montipora flabellata",38.5,NA,1
"Montipora foliosa",19.42,14.23,10
"Montipora foveolata",29.93,40.88,3
"Montipora grisea",28.62,NA,2
"Montipora hispida",61.58,41.22,5
"Montipora hoffmeisteri",23.13,NA,1
"Montipora informis",72.85,22.21,4
"Montipora mollis",52.46,NA,1
"Montipora monasteriata",31.43,7.49,3
"Montipora patula",13.75,NA,1
"Montipora peltiformis",45.32,NA,1
"Montipora spongodes",60.91,NA,1
"Montipora tuberculosa",29.43,19.36,3
"Montipora undata",43.45,NA,1
"Montipora venosa",16.38,NA,2
"Montipora verrucosa",2.75,NA,1
"Mussa angulosa",11,NA,1
"Mycedium elephantotus",13.85,NA,2
"Mycetophyllia aliciae",11,NA,1
"Mycetophyllia danaana",11,NA,1
"Mycetophyllia ferox",11,NA,1
"Mycetophyllia lamarckiana",11,NA,1
"Mycetophyllia reesi",2.75,NA,1
"Oculina diffusa",11,NA,1
"Oculina valenciennesi",2.75,NA,1
"Oculina varicosa",2.75,NA,1
"Orbicella annularis",18.89,17.29,36
"Orbicella faveolata",21.96,14.74,19
"Orbicella franksi",17.37,15.59,14
"Oulophyllia crispa",22.43,NA,1
"Oxypora lacera",6.94,NA,1
"Pachyseris gemmae",57.38,NA,2
"Pachyseris rugosa",21.72,33.63,4
"Pachyseris speciosa",39.28,32.06,4
"Palauastrea ramosa",5.5,NA,1
"Paragoniastrea australensis",22.8,NA,1
"Paragoniastrea russelli",14.73,NA,2
"Pavona cactus",31.5,29.92,4
"Pavona clavus",44.56,24.99,29
"Pavona decussata",5.43,NA,1
"Pavona duerdeni",47.6,NA,1
"Pavona explanulata",3.41,NA,1
"Pavona gigantea",36.86,22.75,25
"Pavona maldivensis",3.93,NA,2
"Pavona minuta",63.25,NA,2
"Pavona varians",23.85,18.47,13
"Pavona venosa",13.98,19.1,3
"Pectinia alcicornis",3.69,NA,1
"Pectinia lactuca",68.81,45.42,4
"Pectinia paeonia",45.24,31.41,3
"Physogyra lichtensteini",71.5,NA,1
"Platygyra acuta",4.63,NA,1
"Platygyra daedalea",45.36,22.3,14
"Platygyra lamellina",39.59,33.9,3
"Platygyra pini",38.32,NA,1
"Platygyra ryukyuensis",14.32,NA,2
"Platygyra sinensis",40.05,5.24,3
"Platygyra verweyi",34.91,NA,1
"Plerogyra sinuosa",71.5,NA,1
"Plesiastrea versipora",0,NA,1
"Pleuractis paumotensis",0,NA,2
"Pocillopora capitata",35.15,5.01,5
"Pocillopora damicornis",42.29,29,47
"Pocillopora elegans",30.97,23.48,17
"Pocillopora grandis",21.85,25.36,12
"Pocillopora inflata",41.25,NA,1
"Pocillopora meandrina",32.77,6.8,7
"Pocillopora verrucosa",26.3034482758621,20.7246591231963,29
"Podabacia crustacea",5.41,NA,1
"Porites annae",5.57,NA,2
"Porites aranetai",35.75,NA,1
"Porites astreoides",16.01,14.77,30
"Porites attenuata",35.75,NA,1
"Porites branneri",2.75,NA,1
"Porites colonensis",2.75,NA,1
"Porites compressa",33.69,31.38,4
"Porites cylindrica",28.95,22.82,11
"Porites divaricata",2.75,NA,1
"Porites evermanni",5.5,NA,1
"Porites furcata",30.22,33.29,3
"Porites harrisoni",11,NA,1
"Porites heronensis",23.21,NA,1
"Porites horizontalata",35.75,NA,1
"Porites lichen",15.79,18.24,3
"Porites lobata",35.79,18.93,30
"Porites lutea",24.58,19.36,11
"Porites mayeri",11.69,NA,2
"Porites nigrescens",41.33,18.9,6
"Porites panamensis",27.6,15.1,8
"Porites porites",19.82,15.31,22
"Porites rus",7.28,8.76,7
"Porites sillimaniani",35.75,NA,2
"Porites solida",35.75,NA,2
"Porites stephensoni",0,NA,1
"Porites sverdrupi",2.5,NA,2
"Porites vaughani",24.05,NA,1
"Psammocora contigua",28.42,22.9,3
"Psammocora digitata",41.42,27.68,3
"Psammocora profundacella",5.5,NA,2
"Psammocora stellata",11.86,16.64,10
"Pseudodiploria clivosa",17.49,21.3,4
"Pseudodiploria strigosa",17.57,14.81,18
"Pseudosiderastrea tayamai",2.75,NA,1
"Sandalolitha robusta",0.26,NA,1
"Scapophyllia cylindrica",16.33,NA,1
"Scolymia cubensis",11,NA,1
"Scolymia lacera",2.75,NA,1
"Seriatopora caliendrum",65.82,NA,2
"Seriatopora hystrix",61.46,28.99,9
"Siderastrea radians",23.13,NA,2
"Siderastrea savignyana",2.75,NA,2
"Siderastrea siderea",19.05,14.44,25
"Solenastrea bournoni",0,NA,1
"Stephanocoenia intersepta",18.77,13.33,8
"Stylophora pistillata",56.42,24.52,9
"Symphyllia recta",11.57,9.12,3
"Turbinaria bifrons",71.5,NA,1
"Turbinaria mesenterina",20.87,22.43,3
"Turbinaria peltata",71.5,NA,1
