"species","mean_GR_mm.yr","sd","n"
"Acropora abrotanoides",127.5,NA,1
"Acropora aspera",47.7436162361624,16.1509462036993,542
"Acropora austera",62.9,NA,1
"Acropora cerealis",45.2588235294118,30.2130899528378,68
"Acropora cervicornis",125.969251336898,81.6313064322297,187
"Acropora cytherea",88.7604166666667,35.4316492794186,48
"Acropora digitifera",37.6,3.2,4
"Acropora divaricata",83,17.4331924787171,42
"Acropora elseyi",135.05,61.9425540319416,2
"Acropora eurystoma",34.6285714285714,103.480436877347,400
"Acropora gemmifera",24,3.3,2
"Acropora gomezi",30.56875,27.8315492398016,90
"Acropora granulosa",7.16,1.81471760888575,3
"Acropora hemprichii",8.47047619047619,6.94479653226989,21
"Acropora humilis",26.9179487179487,17.8452454961506,78
"Acropora hyacinthus",90.9081818181818,47.3430994046616,110
"Acropora lamarcki",32.4,NA,1
"Acropora muricata",74.9552486187846,25.081659136638,181
"Acropora nasuta",42.087619047619,38.1951859986515,105
"Acropora palmata",76.4869969040247,40.3909789832018,323
"Acropora pharaonis",14.44,9.27917022152304,5
"Acropora prolifera",68.9636363636364,20.9843281938466,88
"Acropora pulchra",130.9,81.0499023236097,4
"Acropora robusta",22.4,1.93,3
"Acropora solitaryensis",16.7,NA,1
"Acropora speciosa",40.3,NA,1
"Acropora spicifera",113.564210526316,16.5513136116584,95
"Acropora valenciennesi",179.333333333333,96.9444285259459,108
"Acropora valida",33.9028571428571,18.2099874090219,35
"Acropora yongei",51.2072727272727,8.81090776920889,11
"Agaricia agaricites",5.39344493392071,1.95043618406006,454
"Agaricia lamarcki",4.725,0.417582327212252,120
"Astrea curta",2.6,0.397492138287036,12
"Astreopora myriophthalma",7.75,3.53553390593274,2
"Balanophyllia europaea",1.36937734433608,0.337319186313517,1333
"Cladocora caespitosa",3.46,NA,1
"Coelastrea aspera",4.01304347826087,1.0739987644014,46
"Colpophyllia natans",11.7447422680412,7.28421605822756,97
"Cyphastrea ocellina",3.255,1.30814754519511,2
"Cyphastrea serailia",4.93333333333333,3.18161384625266,6
"Dendrogyra cylindrus",18.7146923076923,2.88004755261531,26
"Diploastrea heliopora",2.43239285714286,0.35286272005746,28
"Diploria labyrinthiformis",3.96824175824176,1.5365041099393,2366
"Dipsastraea pallida",5.26296296296296,1.05603389466705,27
"Dipsastraea speciosa",7.92962962962963,1.98625179040906,27
"Favites abdita",0.8,0.116666666666667,4
"Fungia fungites",2,NA,1
"Gardineroseris planulata",8.964,3.63434259392259,25
"Goniastrea edwardsi",9.8625,2.27133404265716,4
"Goniastrea favulus",4.09761904761905,1.00104067165318,42
"Goniastrea retiformis",6.96785714285714,0.856227140360565,14
"Goniastrea stelligera",10,NA,1
"Heliofungia actiniformis",5.76,4.5,30
"Herpolitha limax",10,NA,1
"Hydnophora microconos",7.6,2.36907154809643,4
"Hydnophora rigida",71,NA,1
"Isopora brueggemanni",74.8,NA,1
"Leptastrea purpurea",1.8,0.3,3
"Lobactis scutaria",9.62631578947369,3.99640149988758,19
"Lophelia pertusa",16.8,10.4088103707068,3
"Madracis asperula",13.9969230769231,5.3566226222462,13
"Madracis mirabilis",22,5,12
"Meandrina meandrites",2.27921052631579,2.25564715910644,76
"Merulina ampliata",24.4837647058824,6.35924067286697,102
"Montastraea cavernosa",5.31770072992701,4.70407410928172,274
"Montipora capitata",13.5323892405063,4.06788639547553,316
"Montipora digitata",32.3083553386912,19.5628488767067,3484
"Montipora foliosa",32.5,NA,1
"Montipora undata",26,NA,1
"Montipora verrilli",17.2,3.6,89
"Montipora verrucosa",26.8060837438424,9.86183968680784,203
"Mussismilia braziliensis",8,NA,1
"Orbicella annularis",7.55981485429993,4.54212379161013,8442
"Orbicella faveolata",7.23611111111111,1.3160932140993,288
"Orbicella franksi",10.8103125,3.31960993059022,32
"Oulophyllia crispa",21,1.4142135623731,2
"Paragoniastrea australensis",3.4,1.23085336250912,5
"Pavona cactus",42.7239010989011,2.00584867085251,91
"Pavona clavus",13.5147962382445,5.53799024288306,319
"Pavona duerdeni",8.75238095238095,1.88446785348303,21
"Pavona gigantea",9.114,3.31566923283045,130
"Pavona maldivensis",12.05,1.48492424049175,2
"Pavona varians",3.485,1.51299633119167,20
"Platygyra daedalea",22,NA,1
"Platygyra lamellina",7.4,NA,1
"Platygyra sinensis",7.21627906976744,2.52746675979362,43
"Plesiastrea versipora",4.1375,2.52978683461106,8
"Pleuractis granulosa",5.72565891472868,3.26914740532634,129
"Pocillopora damicornis",30.1299034749035,23.8781257697344,518
"Pocillopora elegans",40.7416,9.82404449501324,125
"Pocillopora grandis",33.8190476190476,8.94860569871704,21
"Pocillopora inflata",31.5,8,16
"Pocillopora ligulata",14.5,NA,1
"Pocillopora meandrina",23.9396666666667,18.1377614813368,60
"Pocillopora verrucosa",40.9583908045977,19.7091579664946,87
"Porites astreoides",2.62790051679587,2.03826120244183,2322
"Porites australiensis",12.4615384615385,4.55622988546789,13
"Porites columnaris",5.585,0.843725205397008,10
"Porites compressa",18.1968474576271,9.95836948762822,413
"Porites cylindrica",18.9351851851852,7.25169792452504,27
"Porites evermanni",11.6,NA,1
"Porites furcata",34.6,26.4457936163769,2
"Porites heronensis",10.5,0.98,6
"Porites lichen",32.6,11.5377640814848,13
"Porites lobata",12.1026018893387,6.24297725466162,741
"Porites lutea",16.2408122743682,6.94301044011377,277
"Porites mayeri",13,NA,1
"Porites nigrescens",35.6,12.902092853487,40
"Porites nodifera",11.2,NA,1
"Porites porites",21.964375,9.65044897706065,16
"Porites rus",14.62725,7.42694092476842,16
"Porites solida",13.46,5.16797832812793,5
"Psammocora haimiana",29.5,0.707106781186548,2
"Psammocora profundacella",5.54166666666667,3.0664307651337,12
"Psammocora stellata",13.5090909090909,5.1306408547632,22
"Pseudodiploria clivosa",6.4,NA,1
"Pseudodiploria strigosa",4.57944444444444,0.921925236140883,18
"Seriatopora caliendrum",58,NA,1
"Seriatopora hystrix",23.8666666666667,27.6014740183854,24
"Siderastrea radians",3.25,NA,1
"Siderastrea siderea",5.59626543209877,6.26288590897809,324
"Solenastrea hyades",15,NA,1
"Stephanocoenia intersepta",1.8,0.3,21
"Stylophora danae",12,NA,1
"Stylophora pistillata",27.4830765120427,30.9856159537893,107
"Turbinaria frondens",14,4.58,3
"Turbinaria mesenterina",19.28,NA,1
